Commentry,Over,Score,Sentiment
"KH Pandya to Gambhir, no run, good length at leg stump, backs way but cramped, pushes to square leg ",4.1,0,0.727414
"McClenaghan to Lynn, no run, back of a length, angled across off stump, left alone ",1.1,0,0.727127
"Bumrah to Lynn, (no ball) 1 run, good length, angled in at off stump, goes for the big heave and gets a thick inside edge to short fine leg. Overstepped, so Gambhir has a free hit next ball ",2.3,2nb,0.725487
"McClenaghan to Lynn, 2 runs, overpitched at leg stump, clears the front leg and hammers this flat past the bowler, it bounces once and is headed to the boundary but a wild Pollard appears out of nowhere - diving low to the left at long-on, one-handed, takes it on the bounce - and that's only two All wides and no-balls have been bowled at Lynn ",5.6,2,0.724643
"Malinga to Pandey, 1 run, slower ball, short and wide, tapped to short third man ",18.6,1,0.719498
"KH Pandya to Pandey, 2 runs, good length at off stump, pushes it wide of cover this time and he slides poorly - above the ball - and allows a second ",6.4,2,0.717092
"McClenaghan to Lynn, 1 wide, good length, slower ball, this time down the leg side ",5.6,1w,0.71568
"McClenaghan to Lynn, 1 run, slower bouncer, angled across off stump, drags it to deep midwicket with a pull shot ",1.4,1,0.712318
"Harbhajan Singh to Yadav, no run, back of a length at off stump, punched straight to extra cover off the back foot ",14.1,0,0.708059
"Malinga to Pandey, 1 run, Pandey nearly runs himself out next ball. Slower ball at leg stump, good length. He taps it to Harbhajan at midwicket and takes him on. Was nowhere near making the crease at the non-strikers, but Harbhajan misses ",16.2,1,0.707547
"McClenaghan to Pandey, 1 run, short and wide outside off stump, backs away and slaps it to sweeper cover ",13.2,1,0.704876
"Bumrah to Yadav, 1 run, slower ball, back of a length at leg stump, punched to long-on off the back foot ",15.2,1,0.704519
"McClenaghan to Pandey, FOUR runs, this time he's successfull! Low full toss, wide outside off, opens the face and taps it through the slip region to find the third man boundary ",19.4,4,0.698359
"McClenaghan to Yadav, 1 run, slower ball at off stump, good length, hits it on the up and on the bounce to Pollard at long-on ",13.4,1,0.694351
"McClenaghan to Lynn, 1 wide, attempted bouncer, but this one sits in the pitch and flies wide, feebly, past the wide marker ",5.6,1w,0.691819
"Bumrah to Pandey, FOUR runs, lovely. Good length, angled in at off stump, opens the face and blazes it past point Time-out. ",15.6,4,0.678255
"KH Pandya to Lynn, no run, back of a length outside off, chopped straight to point ",4.6,0,0.671917
"McClenaghan to Pandey, SIX runs, length ball at off stump, sits up nicely for him and he pulls this on the up over deep midwicket. This length has become predictable for Pandey Over the wicket now. That might have been the last of the short balls at Pandey. ",19.1,6,0.670696
"Malinga to Gambhir, 1 run, full, fast, swinging in at yorker length, clears the front leg and jams it into the off side ",0.1,1,0.67039
"McClenaghan to Lynn, FOUR, short and down the leg side, he's backing away, but has enough time to pull this past short fine leg ",1.2,4,0.670084
"Harbhajan Singh to Pathan, no run, good length at off stump, forward defence back down the pitch ",8.3,0,0.665152
"McClenaghan to Gambhir, FOUR, good length outside off stump, clears the front leg and slaps this through cover point Brendan : &quot;Is there a reason Lynn isn't featuring more prominently in the Australian set up?&quot; --- Got injured soon after getting a call-up in Jan.  Who are the greatest openers in the first decade of the IPL? Vote now</Span><P Lang=""en-US"" MCID=""13"">! Only 24 hours to go! And should Robin Uthappa open for Kolkata Knight Riders? He's slipped to ninth on our poll. ! Only 24 hours to go! And should Robin Uthappa open for Kolkata Knight Riders? He's slipped to ninth on our poll. ",1.6,4,0.658262
"McClenaghan to Pandey, SIX runs, keeps at that line and length, short and wide outside off, this time Pandey doesn't try to hit it hard. Anticipates the bounce, and uses it to ramp it over third man shashank: &quot;Looking at economy rates and wickets, kkr would be wishing to have chawla instead of rajpoot now&quot;  rssampat: &quot;KKR need to look at 160-170 to have a good shot at defending it here as they do have the bowling resources that can bring MI down.&quot; ",13.6,6,0.656818
"Pandya to Pandey, 1 run, tossed up outside off, steps out, gets to the pitch but only after stretching wide. Can only hit it to long-off ",9.2,1,0.652867
"Malinga to Gambhir, 1 run, good length at off stump, dabs it late to third man off the back foot Dilip D'Souza: &quot;Thanks for stats about, for example, Malinga's figures in his last IPL game -- do you have a stat for when KKR last lost a wicket?&quot; --- Jason Holder, in the Eliminator against Sunrisers Hyderabad last season. May 25, 2016. ",3.6,1,0.646372
"Harbhajan Singh to Pandey, 1 run, flat and short at off stump again, hurries him on the pull, he can't connect, rolls slowly to midwicket ",12.5,1,0.64589
"Harbhajan Singh to Pathan, 1 run, back of a length at off stump, chopped to deep point Manish Pandey v Harbhajan in the IPL - 53 runs off 53 balls, 4 dismissals ",8.5,1,0.644487
"Bumrah to Pandey, 1 run, slower ball, full at off stump, catches the inside edge as he swipes across the line. Malinga misfields at short fine to his left, but they'd already run through ",17.1,1,0.637779
"Malinga to Lynn, 1 run, slight movement away, and another yorker. This one is in the corridor, and he digs it out to mid-off ",0.2,1,0.631997
"Harbhajan Singh to Yadav, no run, top spinner, good length at off stump, pushed back down the pitch ",14.3,0,0.611751
"Bumrah to Lynn, no run, slower ball at a length outside off, flat-batted on the up to extra cover ",7.1,0,0.608161
"Harbhajan Singh to Pandey, 1 run, flat full toss at off stump, clears the front leg, slogs it past Rohit at midwicket who might have got a hand on it, long-on doesn't have to travel too fast to his right ",10.5,1,0.607388
"McClenaghan to Pandey, no run, short and wide outside off stump, climbs over his attemped cut shot and beats him ",13.5,0,0.593391
"Bumrah to Lynn, (no ball) 1 run, another no-ball, this one for height. Misses the yorker by a huge margin this time. It's at off stump, above waist height and just fast enough for him not to wallop that out of the stadium. It lands harmlessly in the off side infield but a free hit for Gambhir again ",2.5,2nb,0.578331
"Harbhajan Singh to Pathan, 1 run, short and wide outside off stump, back foot punch to find sweeper ",10.4,1,0.57491
"Malinga to Narine, 1 run, slower ball, good length outside off, slices it uppishly to find sweeper cover Narine has shown a six-hitting ability in recent times. A sweep and whip on the leg side that is straight out of the Lara handbook. And a slice over the off side at length balls. Not too much else though. ",18.3,1,0.562443
"Bumrah to Lynn, no run, yorker, just outside off stump, beats him as he tries to chop this square on the off side ",2.1,0,0.562387
"McClenaghan to Yadav, no run, short at middle stump, skips outside leg stump to ramp it to the third man boundary, beaten ",13.3,0,0.557704
"Bumrah to Woakes, 2 runs, he's not picking the slower ball at either end. This one is full at off stump, he's through the drive early, trying to thread it through the off side. Goes off the inside half to deep midwicket ",17.2,2,0.5558
"KH Pandya to Lynn, 1 run, full at leg stump, flicked straight to short fine And we have the first time-out. By the way, Krunal Pandya's economy rate in the first innings in the IPL is 6.94. It's 8.41 in the second innings. ",6.6,1,0.554545
"Malinga to Woakes, no run, slower ball, overpitched at middle stump, shapes to drive this, is forced to push at it at the last moment. Thick inside edge to midwicket ",16.3,0,0.550931
"Harbhajan Singh to Pandey, no run, good length at off stump, tucked off the back foot, straight to midwicket ",8.1,0,0.547998
"Malinga to Lynn, 1 run, back of a length at middle stump, mistimed pull to deep midwicket ",3.5,1,0.54615
"McClenaghan to Pandey, no run, yorker, full and wide outside off, can't get bat on this. Wanted to pick third man but is beaten ",19.3,0,0.540423
"Malinga to Woakes, 1 run, yorker tailing in at leg stump, squeezed down to long-on ",16.5,1,0.51773
"Malinga to Lynn, 1 run, a yorker at middle stump, clears the front leg and gets it sweetly off the middle as he slices this to cover Saj: &quot;We are in the 10th IPL season. Shouldn't they have named a stand after Malinga at the Wankhede by now?&quot;  No surprise, the lengths in that over. Malinga has bowled the most yorkers by any bowler in each of the 7 IPL seasons he has played. ",0.6,1,0.484394
"McClenaghan to Pandey, SIX runs, misses the yorker again. Errs on the shorter side this time, so it's overpitched at middle stump. Pandey is standing deep. Gets under it and launches it flat over the bowler ",19.2,6,0.483679
"Bumrah to Pandey, 1 run, full at off stump, drags this past square leg off the inside half of the bat ",15.1,1,0.477467
"Bumrah to Gambhir, FOUR, length ball in the corridor, pokes at this to try and dab a single through third man, gets an outside edge that beats him instead ",2.6,4,0.461806
"Pandya to Pandey, 1 run, back of a length at off stump, back foot punch to sweeper ",11.3,1,0.450925
"Harbhajan Singh to Pandey, 1 run, fires it fast, short at off stump, pulls it to midwicket ",12.3,1,0.447805
"McClenaghan to Gambhir, no run, good length, at off stump, back foot defence into the point region ",1.5,0,0.426471
"KH Pandya to Pandey, no run, good length at off stump, pushed to cover on the up ",6.3,0,0.42185
"Harbhajan Singh to Pandey, no run, good length at off stump, closes the face too early and the leading edge teases extra cover and the bowler, before landing safely in front of both. Buttler then attempts a run-out but Pandey has dived back in and he's safe, as third umpire confirms ",10.2,0,0.369826
"Bumrah to Pathan, no run, back of a length in the corridor, defended into the off side ",7.4,0,0.361078
"Pandya to Pandey, 1 run, tossed up at middle stump, steps out and jams it out to long-on ",9.4,1,0.347407
"McClenaghan to Pandey, (no ball) FOUR runs, but it's a full toss next ball and also a no-ball! Oversteps and bowls a knee-height full toss at middle stump for Pandey to dispatch between long-on and deep midwicket while he smiles at the thought of a free hit next ball ",19.2,5nb,0.332332
"Pandya to Pandey, no run, dropped. This is looped beautifully at middle stump, draws him forward, makes him poke, draws the edge. Basically he's done everything perfectly as a left-arm spinner. But that took off rapidly and Parthiv can't hold on ",11.1,0,0.33086
"Malinga to Pandey, 1 run, slower length ball at middle stump, pushes it to midwicket's right and keeps the strike ",16.6,1,0.330157
"Harbhajan Singh to Yadav, 1 run, back of a length at off stump, punched off the back foot past the bowler ",12.4,1,0.325634
"Harbhajan Singh to Pandey, 1 run, good length outside off, dabbed to short third man ",14.5,1,0.321685
"Bumrah to Pandey, 1 run, slower ball, low full toss at off stump. Picks it and absolutely nails the slog. Finds deep midwicket. That's fifty for him ",17.4,1,0.227593
"McClenaghan to Narine, OUT, ....anti-climax. Yorker at off stump from around the wicket, gets him on the toe in front of off stump and the umpire raises his finger. Even though replays showed he got a big bottom edge on that. 9.46pm Masterful batting from Pandey in the end. KKR were visibly nervous when Krunal Pandya started chipping away at their top order, but he has done fantastically. From 107 for 4 at the end of 14 overs to 178 in the end - 71 runs off the last six overs. This pitch is taking a turn too, so KKR will be mighty confident. Even without Chawla, they have three spinners to put pressure on Mumbai who will feel a little winded at the end of this innings. The chase, soon. ",19.6,W,0.185284
"Harbhajan Singh to Pandey, FOUR runs, top spinner, short and wide, hangs back and opens the face to get this past short third man. Skillful. ",12.2,4,0.147736
"McClenaghan to Lynn, 1 run, slower ball, back of a length at middle stump, stands tall and tucks it to deep midwicket slip moves out into the leg side. Conservation time already. ",5.3,1,0.127646
"Bumrah to Lynn, OUT, plumb in front. Good length, this one is fast and straight. Lynn shuffles across and tries to lift this square on the leg side. It's an ugly swipe in the end, with eyes off the ball. It strikes him just above the flap on the back leg which is in front of middle stump. Correction: It hit the knee roll on the front leg Pathan. Wide slip in place ",7.3,W,0.122072
"Malinga to Pandey, SIX runs, shooooot. Waits for the slower ball. It arrives at a full length, off stump line. Front foot out of the way and puts deep midwicket on ball retrieving duty ",18.5,6,0.10805
"Bumrah to Woakes, 1 run, yorker at off stump, brings the bat down hard at this. Chops it to short third man again, who takes a crowd-catch and holds on to it this time ",17.6,1,0.0826539
"Malinga to Lynn, FOUR, misses the length this time. Slower ball, floated full outside off, puts in a big stride and clubs it through his partner's legs and past mid-on ",0.5,4,0.0661162
"McClenaghan to Pandey, 1 wide, low full toss at his legs. He's standing outside leg stump and moves his leg away to let it go past him. Umpire calls wide. Bowler unimpressed. Rightly so. still a free hit ",19.2,1w,0.0069044
"KH Pandya to Gambhir, OUT, good length at leg stump, this time he stays put, gets on one knee and tries to lift this over square leg with a sweep. McCleneghan times his jump nicely and holds on to it Just as we were discussing when they lost their last wicket And after nearly 20 overs of KKR batting, someone else gets a go. It's Uthappa. ",4.2,W,2.62856e-05
"Bumrah to Gambhir, 2 runs, yorker at off stump, he's deep in his crease and gets an extra inch to whip that to Buttler's right at deep midwicket ",2.3,2,0.0
"Bumrah to Gambhir, 1 run, good length at middle stump, heaves across the line, bat turns and the ball rolls to long leg ",2.4,1,0.0
"Bumrah to Gambhir, FOUR, backs away, expects the yorker again, is rewarded with a low full toss outside off that he slices past a diving point fielder ",2.5,4,0.0
"KH Pandya to Uthappa, no run, good length at off stump, forward defence ",4.3,0,0.0
"Bumrah to Woakes, 1 run, yorker at off stump, tapped into the off side ",17.3,1,0.0
"KH Pandya to Uthappa, FOUR, good length, arm ball at off stump. Uthappa offers an angled bat as he pokes at this off the front foot. Thick outside edge runs away to the third man boundary slip comes in ",4.4,4,0.0
"McClenaghan to Lynn, FOUR, back of a length, outside off stump, enough room for him to butcher this on the up past extra cover ",5.2,4,0.0
"McClenaghan to Pandey, no run, back of a length in the corridor, opens the face and slices it on the up, Rana takes it above his head at point on the bounce, one-handed ",5.4,0,0.0
"McClenaghan to Pandey, 1 run, yorker outside off stump, opens the face and runs it to third man Extension to the stat earlier: Pandey made 35 off his first 30 balls today. 46 off 17 after that. Narine ",19.5,1,0.0
"McClenaghan to Pandey, 1 run, good length at leg stump, tucked off his pads to short fine's right ",5.5,1,0.0
"KH Pandya to Pandey, 1 run, full at off stump, opens his stance and pushes it to sweeper cover ",6.1,1,0.0
"McClenaghan to Yadav, 1 run, full at leg stump, driven with the full face to long-on ",13.1,1,0.0
"KH Pandya to Lynn, 1 run, good length at leg stump, driven to long-on off the back foot ",6.2,1,0.0
"KH Pandya to Pandey, 1 run, full at leg stump, driven to long-on ",6.5,1,0.0
"Pandya to Pandey, 1 run, short at middle stump, straightens and forces him to swivel as he pulls it to deep square ",9.6,1,0.0
"Harbhajan Singh to Yadav, 1 run, good length, fired in at leg stump, pushed to long leg ",12.1,1,0.0
"Pandya to Pandey, 1 run, back of a length outside off, finds point with the cut ",11.5,1,0.0
"Pandya to Pandey, FOUR runs, full and wide outside off, this time he throws his hands at it unceremoniously, gets an outside edge again, and it's four this time ",11.2,4,0.0
"Harbhajan Singh to Pathan, no run, good length at off stump, defended back to the bowler ",10.6,0,0.0
"Harbhajan Singh to Pandey, 1 run, short and wide, finds sweeper with the cut Harbhajan took only 8 wickets at 40.87 in the middle overs (7-15) last IPL season, economy of 7.78 ",10.3,1,0.0
"Harbhajan Singh to Pandey, no run, good length outside off, arm ball, slides through quickly under his attempted cut and beats him ",10.1,0,0.0
"Bumrah to Yadav, 1 run, follows the batsman as he moves down the leg side, back of a length, forces him to push on the up to long-on ",15.4,1,0.0
"Bumrah to Lynn, 2 runs, slower length ball at off again, this time he flat-bats it past the bowler and picks up two as long-on and long-off converge ",7.2,2,0.0
"Bumrah to Pandey, SIX runs, misses the yorker marginally, and that's enough for Pandey to clear his front leg and lift it over the long-on boundary ",15.5,6,0.0
"Pandya to Pathan, 1 run, good length outside off, one-handed sweep again, this time long leg is in place and he finds him ",9.3,1,0.0
"Harbhajan Singh to Pandey, 1 run, good length at off stump, punched off the back foot to midwicket's right ",8.6,1,0.0
"Harbhajan Singh to Pathan, 2 runs, good length at off stump, one hands comes off the bat as he sweeps this to deep square leg's right, but that's Krunal there and he runs hard and puts in a dive at the boundary line slip goes out ",8.4,2,0.0
"Harbhajan Singh to Pandey, 1 run, back of a length at middle stump, back foot drive to deep square a slip for Pathan ",8.2,1,0.0
"Bumrah to Pathan, no run, good length outside off stump, tapped into the off side ",7.5,0,0.0
"Pandya to Pathan, 1 run, good length at off stump, goes forward and drops it into the off side ",9.5,1,0.0
